Pais,Continente,TasaFertilidad
Afghanistan,Asia,4.412
Albania,Europe,1.705
Algeria,Africa,2.65
Angola,Africa,5.589
Antigua And Barbuda,North America,2.034
Argentina,South America,2.268
Armenia,Asia,1.601
Aruba,North America,1.796
Australia,Oceania,1.832
Austria,Europe,1.511
Azerbaijan,Asia,2.036
Bahamas,North America,1.755
Bahrain,Asia,1.998
Bangladesh,Asia,2.067
Barbados,North America,1.799
Belarus,Europe,1.706
Belgium,Europe,1.799
Belize,North America,2.459
Benin,Africa,4.867
Bhutan,Asia,2.015
Bolivia,South America,2.825
Bosnia And Herzegovina,Europe,1.386
Botswana,Africa,2.651
Brazil,South America,1.705
Brunei,Asia,1.848
Bulgaria,Europe,1.584
Burkina Faso,Africa,5.231
Burundi,Africa,5.577
Cambodia,Asia,2.524
Cameroon,Africa,4.603
Canada,North America,1.563
Central African Republic,Africa,4.754
Chad,Africa,5.797
Chile,South America,1.765
China,Asia,1.635
Colombia,South America,1.827
Comoros,Africa,4.237
Costa Rica,North America,1.764
Croatia,Europe,1.446
Cuba,North America,1.716
Curaçao,North America,2.018
Cyprus,Asia,1.337
Czech Republic,Europe,1.566
Denmark,Europe,1.762
Djibouti,Africa,2.758
Dominican Republic,North America,2.378
Dr Congo,Africa,5.963
Ecuador,South America,2.444
Egypt,Africa,3.155
El Salvador,North America,2.053
Equatorial Guinea,Africa,4.554
Eritrea,Africa,4.027
Estonia,Europe,1.659
Ethiopia,Africa,4.025
Fiji,Oceania,2.482
Finland,Europe,1.782
France,Europe,1.973
French Polynesia,Oceania,1.99
Gabon,Africa,3.68
Gambia,Africa,5.318
Georgia,Asia,1.971
Germany,Europe,1.47
Ghana,Africa,3.893
Greece,Europe,1.302
Grenada,North America,2.073
Guam,Asia,2.319
Guatemala,North America,2.899
Guinea,Africa,4.738
Guinea Bissau,Africa,4.513
Guyana,South America,2.473
Haiti,North America,2.848
Honduras,North America,2.415
Hong Kong,Asia,1.326
Hungary,Europe,1.397
Iceland,Europe,1.921
India,Asia,2.303
Indonesia,Asia,2.32
Iran,Asia,1.621
Iraq,Asia,4.266
Ireland,Europe,1.98
Israel,Asia,2.92
Italy,Europe,1.491
Ivory Coast,Africa,4.811
Jamaica,North America,1.991
Japan,Asia,1.478
Jordan,Asia,3.264
Kazakhstan,Asia,2.571
Kenya,Africa,3.774
Kiribati,Oceania,3.584
Kuwait,Asia,1.967
Kyrgyzstan,Asia,2.909
Laos,Asia,2.623
Latvia,Europe,1.57
Lebanon,Asia,1.704
Lesotho,Africa,3.013
Liberia,Africa,4.481
Libya,Africa,2.208
Lithuania,Europe,1.661
Luxembourg,Europe,1.594
Macau,Asia,1.347
Macedonia,Europe,1.546
Madagascar,Africa,4.109
Malawi,Africa,4.492
Malaysia,Asia,2.01
Maldives,Asia,2.025
Mali,Africa,5.922
Malta,Europe,1.475
Mauritania,Africa,4.576
Mauritius,Africa,1.433
Mexico,North America,2.136
Micronesia,Asia,3.076
Moldova,Europe,1.23
Mongolia,Asia,2.663
Montenegro,Europe,1.657
Morocco,Africa,2.425
Mozambique,Africa,5.143
Namibia,Africa,3.311
Nepal,Asia,2.083
Netherlands,Europe,1.75
New Caledonia,Oceania,2.142
New Zealand,Oceania,1.974
Nicaragua,North America,2.161
Niger,Africa,7.153
Nigeria,Africa,5.417
North Korea,Asia,1.893
Norway,Europe,1.827
Oman,Asia,2.537
Pakistan,Asia,3.377
Panama,North America,2.469
Papua New Guinea,Oceania,3.588
Paraguay,South America,2.446
Peru,South America,2.354
Philippines,Asia,2.882
Poland,Europe,1.29
Portugal,Europe,1.241
Puerto Rico,North America,1.47
Qatar,Asia,1.881
Republic Of The Congo,Africa,4.561
Romania,Europe,1.54
Russia,Asia,1.751
Rwanda,Africa,3.781
Saint Lucia,North America,1.444
Saint Vincent And The Grenadines,North America,1.902
Samoa,Oceania,3.903
Sao Tome And Principe,Africa,4.361
Saudi Arabia,Asia,2.481
Senegal,Africa,4.647
Serbia,Europe,1.62
Seychelles,Africa,2.257
Sierra Leone,Africa,4.319
Singapore,Asia,1.26
Slovakia,Europe,1.462
Slovenia,Europe,1.638
Solomon Islands,Oceania,3.77
South Africa,Africa,2.414
South Korea,Asia,1.323
South Sudan,Africa,4.736
Spain,Europe,1.391
Sri Lanka,Asia,2.029
Sudan,Africa,4.434
Suriname,South America,2.336
Sweden,Europe,1.909
Switzerland,Europe,1.549
Syria,Asia,2.84
Taiwan,Asia,1.218
Tajikistan,Asia,3.28
Tanzania,Africa,4.924
Thailand,Asia,1.458
Timor Leste,Asia,5.337
Togo,Africa,4.351
Tonga,Oceania,3.576
Trinidad And Tobago,North America,1.73
Tunisia,Africa,2.147
Turkey,Asia,2.024
Turkmenistan,Asia,2.785
Uganda,Africa,5.456
Ukraine,Europe,1.557
United Arab Emirates,Asia,1.725
United Kingdom,Europe,1.871
United States,North America,1.886
Uruguay,South America,1.979
Uzbekistan,Asia,2.244
Vanuatu,Oceania,3.222
Venezuela,South America,2.283
Vietnam,Asia,1.946
Western Sahara,Africa,2.415
Yemen,Asia,3.837
Zambia,Africa,4.901
Zimbabwe,Africa,3.626